""	SAMPLE_101	SAMPLE_102	SAMPLE_103	SAMPLE_104	SAMPLE_105	SAMPLE_106	SAMPLE_107	SAMPLE_108	SAMPLE_109	SAMPLE_111	SAMPLE_112	SAMPLE_113	SAMPLE_114	SAMPLE_115	SAMPLE_116	SAMPLE_117	SAMPLE_118	SAMPLE_121	SAMPLE_122	SAMPLE_123	SAMPLE_124	SAMPLE_125	SAMPLE_126	SAMPLE_127	SAMPLE_128	SAMPLE_129	SAMPLE_130	SAMPLE_132	SAMPLE_133	SAMPLE_134	SAMPLE_135	SAMPLE_136	SAMPLE_137
year_1978_Bin_0_MAG_00001	0	0,0026633486	0	0,012080846	0	0,008745503	0,048897076	0,05139541	0,015079145	0,014065868	0	0,019113386	0,012217174	0,04805885	0,047402725	0,028422138	0,017079355	0,011088483	0,011976114	0,00888251	0,013793773	0,008908398	0,017888132	0,01171864	0,03429575	0,0074611693	0,006355952	0,055173546	0,045600045	0,03826178	0,014194517	0,04586897	0,06598047
year_1978_Bin_10_MAG_00001	0,0144493375	0,00463573	0,0029015406	0,002911382	0,0059660557	0,0038703296	0,04372831	0,013654183	0,009599833	0,009014109	0,010891945	0,011630384	0,019700011	0,015548294	0,034857485	0,01982914	0,022094833	0,011458767	0,014450572	0,012525338	0,01751919	0,013226527	0,0148741305	0,015341287	0,02246141	0,015108931	0,011974018	0,017331062	0,02110558	0,017108146	0,021637427	0,02679246	0,027355485
year_1978_Bin_10_MAG_00002	0,02323984	0,0049396874	0,004067258	0,0036905112	0,0091847535	0,011420908	0,010090557	0,008879931	0,0057434794	0,0031234804	0,005214261	0,0061492296	0,018602617	0,007098839	0,019567627	0,026080871	0,014474923	0,011074058	0,0113336565	0,010102465	0,011453089	0,012162238	0,0101277605	0,010915581	0,017473202	0,014084511	0,009252762	0,013725417	0,016436746	0,012092423	0,01889249	0,020832254	0,020365108
year_1978_Bin_11_MAG_00001	0,021825772	0,014111589	0,013628338	0,017580247	0,0129484385	0,022405954	0,053168762	0,021279108	0,025519548	0,029074375	0,018442463	0,016518263	0,033769965	0,014224684	0,04037126	0,03521194	0,018478163	0,011591575	0,013817809	0,010487881	0,012525978	0,01159089	0,01364663	0,015479748	0,026448622	0,01521419	0,01414018	0,020291302	0,037396014	0,028736487	0,00917107	0,04725621	0,049473803
year_1978_Bin_11_MAG_00002	0,013409462	0,0032305494	0,012739551	0,015537543	0,017370164	0,028310994	0,04396253	0,022491064	0,023153674	0,027333792	0,022226008	0,012298773	0,008837814	0,021389997	0,033428997	0,039536126	0,016297493	0,009276834	0,013572001	0,010820324	0,018046817	0,012158004	0,0151727395	0,016087238	0,020577887	0,017542979	0,013564683	0,031766057	0,04122578	0,02191008	0,013590729	0,037148062	0,043765046
year_1978_Bin_12_MAG_00001	0,010865276	0,018682012	0,022174995	0,016786573	0,026184412	0,014608125	0,024871925	0,021433553	0,020940298	0,026046578	0,025177311	0,010157194	0,008023755	0,018516304	0,030255344	0,015006305	0,014371453	0,022171319	0,013997644	0,015864218	0,023500634	0,015948541	0,017970862	0,016427321	0,027962735	0,02569843	0,018362125	0,020221552	0,023076264	0,023165079	0,017372126	0,031253327	0,02923016
year_1978_Bin_13_MAG_00001	0,020798093	0,030231304	0,033411294	0,042427175	0,039812528	0,040460277	0,032051113	0,023702238	0,037972122	0,032912128	0,039661683	0,03215426	0,030541243	0,037415225	0,032056525	0,029816331	0,009034667	0,008955908	0,0121096065	0,01042833	0,016365802	0,009177383	0,014387214	0,013494959	0,013507902	0,009868613	0,007866345	0,017898515	0,01249147	0,014284931	0,013216262	0,017881926	0,026477484
year_1978_Bin_13_MAG_00002	0,0059848605	0,0041965456	0,01698847	0,0031061221	0,013421126	0,015818374	0,020836692	0,0045858882	0,0046401136	0,0060118246	0,006728014	0,0041855494	0,014822354	0,007891207	0,006925118	0,0147641525	0,008998297	0,004446927	0,00967394	0,008809409	0,009050361	0,0077377623	0,0077558253	0,007824581	0,013018152	0,006547204	0,006731536	0,019755477	0,017610045	0,009473966	0,017817667	0,022077816	0,018642578
year_1978_Bin_13_MAG_00003	0,011376354	0,0040286225	0,0048557254	0,0046332544	0,0039522	0,002243232	0,008800655	0,007518006	0,004138531	0,0016710599	0,0026020913	0,0044316244	0,0051486767	0,004549969	0,024790414	0,040738378	0,012125132	0,006011224	0,016345046	0,009907613	0,017102513	0,011575675	0,01644418	0,0177588	0,035494145	0,010545624	0,009068575	0,035631314	0,03043139	0,03087894	0,031041289	0,036247447	0,04907676
year_1978_Bin_13_MAG_00004	0	0,025688069	0	0,073556095	0,05038865	0,062423564	0,06451436	0,023737649	0,06840004	0,037229355	0	0,07688434	0	0,035370585	0,04347055	0,061954305	0,0159109	0,01305748	0,0125542795	0,011823466	0,016902274	0,01022866	0,014742166	0,0139850965	0,04506427	0,027265811	0,027003419	0,040506244	0,06619712	0,035273366	0,04324711	0,041601703	0,070502415
