derrep_MAGs	GC	Length	Completion	Redundancy	Division	Phylum	Class	Order	Family	Genus	Species	Ratio_2021_1978!A	Ratio_2021_1978!B	Periplasmic serine protease S1-C subfamily	Alpha-mannosidase	Predicted dehydrogenase	U32 peptidase family	Periplasmic beta-glucosidase and related glycosidases	Choline dehydrogenase	Beta-galactosidase	Alpha-L-fucosidase	Neuraminidase NanH	Peptidase S8	Peptidase M9	Melibiase 2	Degradome Score
year_1978_Bin_9_MAG_00001	50.6	785552	67.6	5.6	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA4665	UBA5150		8.68	91.32	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0
year_1978_Bin_37_MAG_00005	41.8	1469797	62.0	0.0	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	JAGROB01	JAGROB01		26.11	73.89	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0
year_1978_Bin_15_MAG_00003	39.5	1086982	76.1	5.6	Bacteria	Pseudomonadota	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Rickettsiella_B		2.4	97.6	0.000	0.000	0.000	0.000	0.469	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1
year_1978_Bin_37_MAG_00003	32.4	881748	70.4	0.0	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae			3.28	96.72	0.430	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1
year_1978_Bin_3_MAG_00002	39.3	1849030	53.5	2.8	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	JAGROB01	JAGROB01		6.29	93.71	0.000	0.000	0.000	0.000	0.469	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1
year_1978_Bin_13_MAG_00005	47.6	600133	54.9	1.4	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	2-12-FULL-41-12			7.77	92.23	0.215	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1
year_1978_Bin_40_MAG_00002	39.4	1229823	84.5	0.0	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae			1.18	98.82	0.645	0.000	0.000	0.000	0.469	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2
year_1978_Bin_40_MAG_00001	36.6	1142457	85.9	2.8	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae			1.65	98.35	0.215	0.000	0.000	0.000	0.469	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2
year_1978_Bin_3_MAG_00001	39.2	3056044	94.4	1.4	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	JACCRY01		5.16	94.84	0.215	0.000	0.000	0.000	0.000	0.418	0.000	0.000	0.000	0.000	0.000	0.000	2
year_1978_Bin_15_MAG_00006	40.5	943123	69.0	1.4	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	JABDES01		5.24	94.76	0.215	0.000	0.000	0.000	0.469	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2
year_1978_Bin_15_MAG_00005	36.4	2710190	67.6	0.0	Bacteria	Pseudomonadota	Gammaproteobacteria	UBA6002	UBA6002			17.67	82.33	0.215	0.000	0.286	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2
year_2021_Bin_47_MAG_00001	47.6	1441356	84.5	7.0	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA4665			96	4	0.430	0.000	0.429	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2
year_1978_Bin_37_MAG_00001	38.8	2599954	95.8	0.0	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	SSA5		1.76	98.24	0.215	0.000	0.000	0.000	0.469	0.418	0.000	0.000	0.000	0.000	0.000	0.000	3
year_1978_Bin_13_MAG_00004	54.2	768770	83.1	1.4	Bacteria	Patescibacteria	SICC01	SICC01	SICC01	SICC01		2.36	97.64	0.215	0.000	0.000	5.882	0.000	0.000	0.000	0.000	0.000	0.313	0.000	0.000	3
year_1978_Bin_19_MAG_00001	37.4	964088	76.1	2.8	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae			2.74	97.26	0.215	0.000	0.000	0.000	0.469	0.418	0.000	0.000	0.000	0.000	0.000	0.000	3
year_1978_Bin_15_MAG_00002	40.6	2373050	76.1	1.4	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	JACCVN01		3.63	96.37	0.215	0.000	0.000	0.000	0.469	0.418	0.000	0.000	0.000	0.000	0.000	0.000	3
